# FINAL HIGH-STAT coherent eps_det table
# Broad coherent MC used for bins without dedicated MC
# 223-234: 224coh (monoenergetic at 224.186 MeV; documented proxy)
# 283-294: 294coh
# 319-330: 320coh
# 356-366: 366coh
# input: /media/daniele/LaCie/Output/Acqu_geant_He4pi0.root
# definition: eps_det(E_lab,theta_cm) = Nreco / Ngen_bin
# denominator: Ngen_bin = Ntagged_in_Ebin * DeltaOmega_cm/(4*pi), valid if MC was generated isotropically in CM
# reco selection: two neutral clusters E>20, veto<1, best pair 110 < mgg < 155 MeV
# applyMMCut = 1, MM cut = [-10,40] MeV
# E_low E_high E_center thetaCm_low thetaCm_high thetaCm_center DeltaOmega_sr Ngen_E Ngen_bin Nreco eps_det deps_det
201 210 205.5 5 10 7.5 0.0715463 9712 55.295 29 0.52446 0.0671594
201 210 205.5 10 15 12.5 0.118639 9712 91.6906 52 0.567124 0.0517438
201 210 205.5 15 20 17.5 0.164828 9712 127.388 69 0.54165 0.0441462
201 210 205.5 20 25 22.5 0.209763 9712 162.117 88 0.542819 0.0391253
201 210 205.5 25 30 27.5 0.253102 9712 195.611 125 0.639023 0.0343401
201 210 205.5 30 35 32.5 0.294514 9712 227.617 148 0.650215 0.0316102
201 210 205.5 35 40 37.5 0.333685 9712 257.891 159 0.616541 0.0302777
201 210 205.5 40 45 42.5 0.370316 9712 286.201 194 0.677845 0.0276224
201 210 205.5 45 50 47.5 0.404129 9712 312.334 210 0.672357 0.0265577
201 210 205.5 50 55 52.5 0.434867 9712 336.089 236 0.702194 0.0249441
201 210 205.5 55 60 57.5 0.462294 9712 357.287 250 0.699717 0.0242503
201 210 205.5 60 65 62.5 0.486204 9712 375.766 263 0.699904 0.0236424
201 210 205.5 65 70 67.5 0.506413 9712 391.384 305 0.779285 0.0209634
201 210 205.5 70 75 72.5 0.522768 9712 404.025 306 0.75738 0.0213263
201 210 205.5 75 80 77.5 0.535144 9712 413.59 336 0.812399 0.0191963
201 210 205.5 80 85 82.5 0.543448 9712 420.007 294 0.699988 0.0223607
201 210 205.5 85 90 87.5 0.547616 9712 423.228 329 0.777358 0.0202221
201 210 205.5 90 95 92.5 0.547616 9712 423.228 330 0.779721 0.0201451
201 210 205.5 95 100 97.5 0.543448 9712 420.007 323 0.769034 0.0205645
201 210 205.5 100 105 102.5 0.535144 9712 413.59 335 0.809981 0.0192908
201 210 205.5 105 110 107.5 0.522768 9712 404.025 333 0.824207 0.0189372
201 210 205.5 110 115 112.5 0.506413 9712 391.384 310 0.79206 0.0205138
201 210 205.5 115 120 117.5 0.486204 9712 375.766 256 0.681276 0.0240387
201 210 205.5 120 125 122.5 0.462294 9712 357.287 254 0.710913 0.0239836
201 210 205.5 125 130 127.5 0.434867 9712 336.089 236 0.702194 0.0249441
201 210 205.5 130 135 132.5 0.404129 9712 312.334 208 0.665954 0.026688
201 210 205.5 135 140 137.5 0.370316 9712 286.201 204 0.712785 0.0267453
201 210 205.5 140 145 142.5 0.333685 9712 257.891 184 0.713481 0.0281547
201 210 205.5 145 150 147.5 0.294514 9712 227.617 137 0.601888 0.0324458
211 222 216.5 5 10 7.5 0.0715463 12712 72.3754 25 0.345421 0.0558933
211 222 216.5 10 15 12.5 0.118639 12712 120.014 72 0.599932 0.0447201
211 222 216.5 15 20 17.5 0.164828 12712 166.738 69 0.413822 0.038142
211 222 216.5 20 25 22.5 0.209763 12712 212.194 120 0.56552 0.0340285
211 222 216.5 25 30 27.5 0.253102 12712 256.035 152 0.593669 0.0306946
211 222 216.5 30 35 32.5 0.294514 12712 297.927 174 0.584036 0.0285557
211 222 216.5 35 40 37.5 0.333685 12712 337.552 223 0.660639 0.0257717
211 222 216.5 40 45 42.5 0.370316 12712 374.608 244 0.651348 0.0246215
211 222 216.5 45 50 47.5 0.404129 12712 408.813 274 0.670234 0.0232517
211 222 216.5 50 55 52.5 0.434867 12712 439.906 289 0.656958 0.0226341
211 222 216.5 55 60 57.5 0.462294 12712 467.652 285 0.609428 0.0225606
211 222 216.5 60 65 62.5 0.486204 12712 491.838 336 0.683151 0.0209784
211 222 216.5 65 70 67.5 0.506413 12712 512.282 386 0.753492 0.0190415
211 222 216.5 70 75 72.5 0.522768 12712 528.826 370 0.699663 0.0199339
211 222 216.5 75 80 77.5 0.535144 12712 541.346 406 0.749982 0.0186112
211 222 216.5 80 85 82.5 0.543448 12712 549.746 416 0.756713 0.0182997
211 222 216.5 85 90 87.5 0.547616 12712 553.962 413 0.745539 0.0185057
211 222 216.5 90 95 92.5 0.547616 12712 553.962 429 0.774421 0.0177581
211 222 216.5 95 100 97.5 0.543448 12712 549.746 446 0.811284 0.0166882
211 222 216.5 100 105 102.5 0.535144 12712 541.346 397 0.733357 0.0190058
211 222 216.5 105 110 107.5 0.522768 12712 528.826 420 0.794212 0.0175801
211 222 216.5 110 115 112.5 0.506413 12712 512.282 392 0.765204 0.0187275
211 222 216.5 115 120 117.5 0.486204 12712 491.838 366 0.744147 0.0196749
211 222 216.5 120 125 122.5 0.462294 12712 467.652 375 0.801879 0.0184314
211 222 216.5 125 130 127.5 0.434867 12712 439.906 344 0.781985 0.0196862
211 222 216.5 130 135 132.5 0.404129 12712 408.813 275 0.67268 0.0232075
211 222 216.5 135 140 137.5 0.370316 12712 374.608 253 0.675373 0.0241922
211 222 216.5 140 145 142.5 0.333685 12712 337.552 218 0.645827 0.0260313
211 222 216.5 145 150 147.5 0.294514 12712 297.927 190 0.63774 0.0278469
223 234 228.5 5 10 7.5 0.0715463 1e+06 5693.47 2265 0.397824 0.00648662
223 234 228.5 10 15 12.5 0.118639 1e+06 9440.96 3928 0.416059 0.00507287
223 234 228.5 15 20 17.5 0.164828 1e+06 13116.6 6044 0.46079 0.00435231
223 234 228.5 20 25 22.5 0.209763 1e+06 16692.4 8277 0.495854 0.00386986
223 234 228.5 25 30 27.5 0.253102 1e+06 20141.2 10631 0.527824 0.00351766
223 234 228.5 30 35 32.5 0.294514 1e+06 23436.7 13582 0.579519 0.00322447
223 234 228.5 35 40 37.5 0.333685 1e+06 26553.8 16351 0.615769 0.00298498
223 234 228.5 40 45 42.5 0.370316 1e+06 29468.8 19364 0.657101 0.00276514
223 234 228.5 45 50 47.5 0.404129 1e+06 32159.6 21854 0.679549 0.00260217
223 234 228.5 50 55 52.5 0.434867 1e+06 34605.6 24706 0.713931 0.00242935
223 234 228.5 55 60 57.5 0.462294 1e+06 36788.2 26653 0.724498 0.00232931
223 234 228.5 60 65 62.5 0.486204 1e+06 38690.9 28650 0.740485 0.00222862
223 234 228.5 65 70 67.5 0.506413 1e+06 40299.1 30528 0.757536 0.0021349
223 234 228.5 70 75 72.5 0.522768 1e+06 41600.5 31749 0.763187 0.00208434
